n,theta,R,sigma,rep,capacity,actual_types,sum_p,sum_e,algorithm,objective,best_bound,certified,nodes,runtime,incumbent_initial,time_limit,available,recharges,makespan,total_recharge_time,battery_utilization,rho,alpha,beta,policy
40,0.500000,0.400000,5.000000,13,245,40,539,1059,Full-recharge strengthened CPLEX MILP heuristic-start,14,14.000000,1,3981,8.330787,14,180.000000,1,5,2070.250000,1531.250000,0.864490,0.200000,61.250000,1.000000,full
40,0.500000,0.400000,5.000000,13,245,40,539,1059,Strengthened CPLEX MILP heuristic-start,11,11.000000,1,72,0.312306,12,180.000000,1,10,2210.500000,1671.500000,0.432245,0.200000,61.250000,1.000000,partial
40,0.500000,0.400000,5.000000,14,250,40,642,1002,Full-recharge strengthened CPLEX MILP heuristic-start,12,12.000000,1,1069,2.871612,15,180.000000,1,8,3142.000000,2500.000000,0.501000,0.200000,62.500000,1.000000,full
40,0.500000,0.400000,5.000000,14,250,40,642,1002,Strengthened CPLEX MILP heuristic-start,11,11.000000,1,210,0.323901,12,180.000000,1,7,2081.500000,1439.500000,0.572571,0.200000,62.500000,1.000000,partial
40,0.500000,0.400000,5.000000,15,250,38,710,1147,Full-recharge strengthened CPLEX MILP heuristic-start,15,15.000000,1,3368,6.016511,16,180.000000,1,6,2585.000000,1875.000000,0.764667,0.200000,62.500000,1.000000,full
40,0.500000,0.400000,5.000000,15,250,38,710,1147,Strengthened CPLEX MILP heuristic-start,12,12.000000,1,120,0.208972,13,180.000000,1,9,2419.500000,1709.500000,0.509778,0.200000,62.500000,1.000000,partial
40,0.500000,0.400000,5.000000,16,235,40,608,963,Full-recharge strengthened CPLEX MILP heuristic-start,14,14.000000,1,2770,4.777894,15,180.000000,1,7,2664.250000,2056.250000,0.585410,0.200000,58.750000,1.000000,full
40,0.500000,0.400000,5.000000,16,235,40,608,963,Strengthened CPLEX MILP heuristic-start,12,12.000000,1,180,0.386124,13,180.000000,1,7,1982.250000,1374.250000,0.585410,0.200000,58.750000,1.000000,partial
40,0.500000,0.400000,5.000000,17,250,40,537,980,Full-recharge strengthened CPLEX MILP heuristic-start,13,13.000000,1,1083,1.128677,15,180.000000,1,8,3037.000000,2500.000000,0.490000,0.200000,62.500000,1.000000,full
40,0.500000,0.400000,5.000000,17,250,40,537,980,Strengthened CPLEX MILP heuristic-start,13,13.000000,1,835,1.322499,14,180.000000,1,5,1829.500000,1292.500000,0.784000,0.200000,62.500000,1.000000,partial
